BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
231,DAVIDSSON,Agust Ingi,ISL,3.6,8.933,,,12.533
225,YUDHA,Tri Wira,INA,4.8,7.833,-0.1,,12.533
138,SOARES,Diogo,BRA,3.6,9,-0.1,,12.5
243,WAHRMANN-BAKER,Elel,JAM,3.6,8.866,,,12.466
183,MOHAMED,Omar,EGY,4.4,8.366,-0.3,,12.466
230,SINGH,Yogeshwar,IND,4.8,7.933,-0.3,,12.433
218,MESZAROS,Krisztofer,HUN,3.6,8.9,-0.1,,12.4
159,SHI,Cong,CHN,4.8,7.866,-0.3,,12.366
329,ALI,Jameel,TTO,3.6,8.6,,,12.2
136,RODRIGUES,Tomas,BRA,3.6,8.666,-0.3,,11.966
173,ESCOBAR,Diorges,CUB,4.4,7.733,-0.3,,11.833
330,GANNES,de Anthony,TTO,2.8,8.9,,0.1,11.8
315,NAWARATHNA,Thenuka Bandara,SRI,2.8,8.966,-0.1,,11.666
162,NGORBO,Ledoux,CMR,4,7.733,-0.3,,11.433
278,KOOPER,Immanuel,NAM,2.4,8.3,-0.1,,10.6
130,TIKHONOV,Ivan,AZE,0,0,,,0
