BIB,Last Name,First Name,Country,D Score,E Score,Penalty,Bonus,Final Score
314,AMBUL DENIYAGE DON,Nadila Nethviru,SRI,4.5,6.533,,0,11.033
329,ALI,Jameel,TTO,3.2,7.733,,0,10.933
231,DAVIDSSON,Agust Ingi,ISL,4.5,6.4,,0,10.9
308,ABDUL,Barr,SGP,3.5,7.366,,0,10.866
152,ARMIJO,Josue,CHI,3.7,7.166,,0,10.866
182,ELMARAGHY,Ahmed,EGY,4.3,6.4,,0,10.7
294,ALARCON,Daniel,PER,4,6.6,,0,10.6
330,GANNES,de Anthony,TTO,2.7,7.666,,0,10.366
300,ALMEIDA,Filipe,POR,4.1,6.166,,0,10.266
199,DESANGES,Lucas,FRA,5.5,4.633,,0,10.133
269,ZULFA,Luqman Al Hafiz,MAS,3.4,6.666,,0,10.066
295,MORETO,Jesus,PER,3.3,5.866,,0,9.166
315,NAWARATHNA,Thenuka Bandara,SRI,1.9,7.133,,0,9.033
278,KOOPER,Immanuel,NAM,2.5,6.4,,0,8.9
354,DINH,Phuong Thanh,VIE,2.3,5.066,,0,7.366
